Title,Link,Authors,Details
Exploring the Determinants of Chinese Tourists’ Shopping Behavior During Shopping Tourism in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505589/,"Qizhen Dong, Shuai Ling, Can Zheng, Yan Hu, Feng Lin, Seul Ki Lee",Behav Sci (Basel)2024 Oct;14(10): 971.Published online 2024 Oct 20.doi:10.3390/bs14100971
Determinants Associated with COVID-19 Vaccination among Korean Adults: Based on Andersen’s Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505588/,Eungyeong Kim,Behav Sci (Basel)2024 Oct;14(10): 905.Published online 2024 Oct 8.doi:10.3390/bs14100905
Tech vs. Tradition: ChatGPT and Mindfulness in Enhancing Older Adults’ Emotional Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505557/,"Ying Wang, Shiyu Li",Behav Sci (Basel)2024 Oct;14(10): 923.Published online 2024 Oct 10.doi:10.3390/bs14100923
Alcohol Abuse and Physical Violence towards a Partner: How Can We Attenuate the Relationship? A Study on Emotional Dysregulation in Adolescents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505553/,"Cecilia Peñacoba, Alejandro Balandin, Ana Estévez, Leticia Olave, Janire Momeñe, María Dolores Chávez-Vera, José Antonio Muñiz, Itziar Iruarrizaga",Behav Sci (Basel)2024 Oct;14(10): 875.Published online 2024 Sep 27.doi:10.3390/bs14100875
Effects of Perceptual-Cognitive Training on Anticipation and Decision-Making Skills in Team Sports: A Systematic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505547/,"Ruihan Zhu, Man Zheng, Shuang Liu, Jia Guo, Chunmei Cao",Behav Sci (Basel)2024 Oct;14(10): 919.Published online 2024 Oct 9.doi:10.3390/bs14100919
“SHIELDing” Our Educators: Comprehensive Coping Strategies for Teacher Occupational Well-Being,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505539/,"Joy C. Nwoko, Emma Anderson, Oyelola A. Adegboye, Aduli E. O. Malau-Aduli, Bunmi S. Malau-Aduli",Behav Sci (Basel)2024 Oct;14(10): 918.Published online 2024 Oct 9.doi:10.3390/bs14100918
The Role of Curiosity in Virtual Environments: A Conceptual Integration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505531/,Rogelio Puente-Díaz,Behav Sci (Basel)2024 Oct;14(10): 899.Published online 2024 Oct 3.doi:10.3390/bs14100899
Social Media Use and Academic Performance in Chinese Children and Adolescents: A Moderated Chain Mediation Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505523/,"Yu Hou, Chuting Qin, Peng Xu",Behav Sci (Basel)2024 Oct;14(10): 867.Published online 2024 Sep 25.doi:10.3390/bs14100867
A Systematic Literature Review of Soft Skills in Information Technology Education,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505522/,"Farhad Sadik Mohammed, Fezile Ozdamli",Behav Sci (Basel)2024 Oct;14(10): 894.Published online 2024 Oct 2.doi:10.3390/bs14100894
The Moderating Role of the Five-Factor Model of Personality in the Relationship between Job Demands/Resources and Work Engagement: An Online Cross-Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505521/,"Toshiki Fukuzaki, Noboru Iwata",Behav Sci (Basel)2024 Oct;14(10): 936.Published online 2024 Oct 12.doi:10.3390/bs14100936
Exploring Determinants of Sustained Participation in New Sports: The Impact of YouTube Engagement and Educator Support,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505519/,"Dohun Kim, Yunduk Jeong",Behav Sci (Basel)2024 Oct;14(10): 914.Published online 2024 Oct 8.doi:10.3390/bs14100914
Don’t Throw Away Your Notebook: Effects of Task Difficulty and Presentation Medium on Memory Performance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505518/,"Meng Han, Miaomiao Xie, Bingcan Li",Behav Sci (Basel)2024 Oct;14(10): 917.Published online 2024 Oct 9.doi:10.3390/bs14100917
How Does Parental Early Maladaptive Schema Affect Adolescents’ Social Adaptation? Based on the Perspective of Intergenerational Transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505476/,"Ying Shi, I-Jun Chen, Mengping Yang, Liling Wang, Yunping Song, Zhiyin Sun",Behav Sci (Basel)2024 Oct;14(10): 928.Published online 2024 Oct 10.doi:10.3390/bs14100928
Maximizing the Impact and ROI of Leadership Development: A Theory- and Evidence-Informed Framework,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505461/,Jaason M. Geerts,Behav Sci (Basel)2024 Oct;14(10): 955.Published online 2024 Oct 16.doi:10.3390/bs14100955
