Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
Do Human Assertions Really Adhere Strictly to Norms? The Effect of Threatening Content in Information on Personalized Norm Perception,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273758/,"Shijia Zhang, Jiangdong Diao, Jiahui Huang, Yanchi Liu, Lei Mo",Behav Sci (Basel)2024 Jul;14(7): 625.Published online 2024 Jul 22.doi:10.3390/bs14070625,7/22/2024,2024,Jul,22
An Online Single-Session Cognitive Behavioral Therapy for Depression and Anxiety Associated with Multiple Sclerosis—Pilot Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11274225/,"Alina Schenk, Cosmin Octavian Popa, Cristiana Manuela Cojocaru, Ștefan Marian, Smaranda Maier, Ovidiu Lucian Băjenaru, Rodica Bălașa",Behav Sci (Basel)2024 Jul;14(7): 620.Published online 2024 Jul 21.doi:10.3390/bs14070620,7/21/2024,2024,Jul,21
Rape Myths and Verdict Systems: What Is Influencing Conviction Rates in Rape Trials in Scotland?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273493/,"Lee John Curley, Martin Lages, Pamela J. Sime, James Munro",Behav Sci (Basel)2024 Jul;14(7): 619.Published online 2024 Jul 21.doi:10.3390/bs14070619,7/21/2024,2024,Jul,21
Exploring Social Sharing Value: Effects on Customer Attitudes and Behaviors in Restaurant Livestreaming,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273407/,"Zihan Yang, Vincenzo Liu, Chan Lyu",Behav Sci (Basel)2024 Jul;14(7): 621.Published online 2024 Jul 21.doi:10.3390/bs14070621,7/21/2024,2024,Jul,21
AI Meets the Shopper: Psychosocial Factors in Ease of Use and Their Effect on E-Commerce Purchase Intention,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273900/,"João M. Lopes, L. Filipe Silva, Ilda Massano-Cardoso",Behav Sci (Basel)2024 Jul;14(7): 616.Published online 2024 Jul 20.doi:10.3390/bs14070616,7/20/2024,2024,Jul,20
"Non-Suicidal Self-Injury among Adolescents: Effect of Knowledge, Attitudes, Role Perceptions, and Barriers in Mental Health Care on Teachers’ Responses",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273488/,"Inbar Levkovich, Batel Stregolev",Behav Sci (Basel)2024 Jul;14(7): 617.Published online 2024 Jul 20.doi:10.3390/bs14070617,7/20/2024,2024,Jul,20
‘Are We Gonna Have to Pretend to Be a Straight Couple?’: Examining the Specific Detriment that Cisgenderism Places on Non-Binary Adoption and Fostering Applicants in the United Kingdom,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273910/,Claire Brown,Behav Sci (Basel)2024 Jul;14(7): 614.Published online 2024 Jul 19.doi:10.3390/bs14070614,7/19/2024,2024,Jul,19
The Roles of Proactive Personality and Career Satisfaction in the Impact of Employer Brand Attributes Congruence on Creativity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273721/,"Jiexuan Zhang, Fei Zhu",Behav Sci (Basel)2024 Jul;14(7): 610.Published online 2024 Jul 18.doi:10.3390/bs14070610,7/18/2024,2024,Jul,18
Callous–Unemotional Traits and Conduct Problems in Children: The Role of Strength and Positive Characteristics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273631/,"Patrícia Figueiredo, Andreia Azeredo, Ricardo Barroso, Fernando Barbosa",Behav Sci (Basel)2024 Jul;14(7): 609.Published online 2024 Jul 18.doi:10.3390/bs14070609,7/18/2024,2024,Jul,18
Unraveling the Link between Perceived ESG and Psychological Well-Being: The Moderated Mediating Roles of Job Meaningfulness and Pay Satisfaction,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11274150/,"Woo-Sung Choi, Wenxian Wang, Hee Jin Kim, Jiman Lee, Seung-Wan Kang",Behav Sci (Basel)2024 Jul;14(7): 606.Published online 2024 Jul 17.doi:10.3390/bs14070606,7/17/2024,2024,Jul,17
Intergenerational Synchrony and Its Effect on Bonding and Group Closeness among Young and Older Adults,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273925/,"Assaf Suberry, Ehud Bodner",Behav Sci (Basel)2024 Jul;14(7): 607.Published online 2024 Jul 17.doi:10.3390/bs14070607,7/17/2024,2024,Jul,17
"Cognitive Control/Flexibility, Social Isolation, and Intrinsic Job Satisfaction of Intensive Care Unit Nurses",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273799/,"Fatima Zehra Allahverdi, Nukhet Bayer",Behav Sci (Basel)2024 Jul;14(7): 605.Published online 2024 Jul 17.doi:10.3390/bs14070605,7/17/2024,2024,Jul,17
From Screen to Table: How Douyin Food Bloggers Stimulate and Convert Viewer Interests,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11274166/,"Ruoqing Guo, Ziqing Yang, Hao Gao",Behav Sci (Basel)2024 Jul;14(7): 602.Published online 2024 Jul 16.doi:10.3390/bs14070602,7/16/2024,2024,Jul,16
Can Leading by Example Alone Improve Cooperation?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273891/,"Ziying Zhang, Nguepi Tsafack Elvis, Jiawei Wang, Gonglin Hou",Behav Sci (Basel)2024 Jul;14(7): 601.Published online 2024 Jul 15.doi:10.3390/bs14070601,7/15/2024,2024,Jul,15
The Effects of Illegitimate Tasks on Task Crafting and Cyberloafing: The Role of Stress Mindset and Stress Appraisal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11274157/,"Qian Ma, Yuxuan Xie",Behav Sci (Basel)2024 Jul;14(7): 600.Published online 2024 Jul 14.doi:10.3390/bs14070600,7/14/2024,2024,Jul,14
"Incremental Validity of Trait Impulsivity, Dysfunctional Emotional Regulation, and Affect Lability in the Predictions of Attention Deficit Hyperactivity Disorder and Oppositional Defiant Disorder Symptoms in Adults",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273999/,"Rapson Gomez, Stephen J Houghton",Behav Sci (Basel)2024 Jul;14(7): 598.Published online 2024 Jul 14.doi:10.3390/bs14070598,7/14/2024,2024,Jul,14
Helping Institutionalised Children through a Trusting Relationship—Findings from a One-Year Psychosocial Intervention Programme,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11274066/,"Monika Misevičė, Lina Gervinskaitė-Paulaitienė, Sigita Lesinskienė",Behav Sci (Basel)2024 Jul;14(7): 595.Published online 2024 Jul 13.doi:10.3390/bs14070595,7/13/2024,2024,Jul,13
The Correlation between Motor Skill Proficiency and Academic Performance in High School Students,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273920/,"Domingo Jesús Ramos-Campo, Vicente Javier Clemente-Suárez",Behav Sci (Basel)2024 Jul;14(7): 592.Published online 2024 Jul 12.doi:10.3390/bs14070592,7/12/2024,2024,Jul,12
How Subjective Socioeconomic Status Influences Pro-Environmental Behavior: The Mediating Role of Sense of Control and Life History Strategy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273981/,"Bowei Zhong, Nana Niu, Jin Li, Yun Wu, Wei Fan",Behav Sci (Basel)2024 Jul;14(7): 591.Published online 2024 Jul 11.doi:10.3390/bs14070591,7/11/2024,2024,Jul,11
Evaluating the Impact of Obsessive-Compulsive Symptoms and Personality Types on Perinatal Depressive Symptoms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273467/,"Oana Neda-Stepan, Cătălina Giurgi-Oncu, Andreea Sălcudean, Elena Bernad, Brenda-Cristiana Bernad, Estera Boeriu, Virgil Radu Enătescu",Behav Sci (Basel)2024 Jul;14(7): 589.Published online 2024 Jul 11.doi:10.3390/bs14070589,7/11/2024,2024,Jul,11
The Impact of the Cost of Travel Time and Feedback Type on Green Travel,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273419/,"Bowei Zhong, Min Tan, Wen Zhong, Wei Fan",Behav Sci (Basel)2024 Jul;14(7): 588.Published online 2024 Jul 11.doi:10.3390/bs14070588,7/11/2024,2024,Jul,11
Types of Client Perceptions Regarding Counselling Experiences at Psychological Counselling Centres: Utilising Q Methodology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11274072/,"Kyoung Hwa Yi, Yeon ah Lim, Jeeyoung Lee, Song Yi Lee",Behav Sci (Basel)2024 Jul;14(7): 586.Published online 2024 Jul 10.doi:10.3390/bs14070586,7/10/2024,2024,Jul,10
Impact of Provincial Income Inequality on Parenting Styles in China during COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273907/,"Rui Jin, Na Liu, Hao Zhou, Mingren Zhao",Behav Sci (Basel)2024 Jul;14(7): 587.Published online 2024 Jul 10.doi:10.3390/bs14070587,7/10/2024,2024,Jul,10
Learning to Listen: Changes in Children’s Brain Activity Following a Listening Comprehension Intervention,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11273652/,"Michelle Marji, Cody Schwartz, Tri Nguyen, Anne S. Kupfer, Chris Blais, Maria Adelaida Restrepo, Arthur M. Glenberg",Behav Sci (Basel)2024 Jul;14(7): 585.Published online 2024 Jul 10.doi:10.3390/bs14070585,7/10/2024,2024,Jul,10
